id,name,address,description,locked,under_repair,working_hours,working_all_time,phone,latitude,longitude,url,paid,paid_value,paid_description,accessibility_id,score,plug_share_id,created_at,updated_at,company_id,provider_id,provider_type,available_id,deleted_at,user_id,is_fast,is_single_charging_station,country_id,area_id,city_id,is_geo_processed,is_hidden,is_disappeared_in_provider,landing_url_button_action,icon_type,exist_connectors,is_new,preview_photo,connector_stats,availability_scheme,color_availability_scheme,available_for_humans,serving_company
1675,,"ул. Пыталовские Хутора, Пыталово, Псковская обл., Россия, 181410",,False,False,,False,,57.052302,27.905914,,False,,,1,0.0,162485.0,2022-04-18T18:30:53.268+02:00,2022-09-29T15:10:27.497+02:00,,,,0,,,False,False,1.0,195.0,341.0,False,False,False,,home_station,['Розетка RU/Euro'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
9935,"#22, #23, пос.Кондратьево, АЗС Татнефть",,"#22, #23, пос.Кондратьево, АЗС Татнефть",False,False,,False,,60.621583,28.163497,,False,,,0,,,2022-06-23T09:22:06.466+02:00,2022-11-19T15:48:11.200+01:00,32.0,163,ros.seti,1,,,True,False,1.0,35.0,771.0,True,False,False,,public_station_fast,"['Type 2', 'CHAdeMO', 'CCS 2']",False,,"{'all': 3, 'busy': 3, 'failed': 3}",DC,#FE6E00,Не работает,"{'id': 32, 'name': 'RosSeti', 'url': None, 'phone': None, 'email': None, 'google_play_url': 'https://play.google.com/store/apps/details?id=com.rosseti.RSEM', 'app_store_url': 'https://apps.apple.com/ru/app/rs-em/id1607405743', 'party_id': 'RST', 'user_id': 2154, 'is_messages_enabled': False, 'image_url': 'https://2chargers.net/uploads/companies/2022-08-03/c39c1785-bac7-43f6-aff5-8b80b9cf5328.png'}"
666,Ranch,"Печорский район, Псковская область, Россия",Туристическая база Ranch. 220 розетка по договоренности. Тел: +79113555555,False,False,,True,+79113555555,57.693853,27.86853,,False,,,0,0.0,146336.0,2022-04-18T18:30:49.334+02:00,2022-09-29T15:10:27.791+02:00,,,,0,,,False,False,1.0,195.0,,True,False,False,,public_station,['Розетка RU/Euro'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
37300,Tesla,"Россия, Псковский район, деревня Загорицы, Окольная улица, 4","Gen 3 Wall Connector от Тесла.
Если вам ОЧЕНЬ надо - звоните",False,False,,False,+79113527208,57.86031483014521,28.195321820676327,,True,,,0,,,2022-07-31T20:29:14.253+02:00,2022-09-29T15:10:27.928+02:00,,,,0,,155.0,False,False,1.0,195.0,1649.0,False,False,False,,public_station_paid,['Type 2'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",AC,#03C03C,Работает,
1842,Несте,"Кингисеппское ш., 11, Ивангород, Ленинградская обл., Россия, 188490",Розетка в шатре у бензоколонки Несте,False,False,,True,,59.376083,28.224545,,False,,,0,0.0,165453.0,2022-04-18T18:30:53.928+02:00,2022-09-29T15:10:28.659+02:00,,,,0,,,False,False,1.0,35.0,531.0,False,False,False,,public_station,['Розетка RU/Euro'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
2177,"Гостиничный комплекс ""Изборск""","Псковская область, Печорский район, дер. Изборск, ул. Печорская д.13","Розетка 220 в на парковке, предоставляется по просьбе. Можно жить, можно пообедать заехать. 

Стоимость уточняйте у администрации комплекса",False,False,,True,+79217037031,57.706235,27.862907,,False,,Уточняйте у администрации возможность и стоимость!,0,0.0,313885.0,2022-04-18T18:30:55.037+02:00,2022-09-29T15:10:31.862+02:00,,,,0,,,False,False,1.0,195.0,1632.0,False,False,False,,public_station,['Розетка RU/Euro'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
1978,Россети электротранспорт #22 АВВ Terra23 CJG 22kw,"Россия, Ленинградская область, Выборгский район, Селезнёвское сельское поселение, посёлок Кондратьево","Ленинградская область, пос. Кондратьево",False,False,,True,,60.621609069239476,28.16356983035803,,False,,,0,3.4,307586.0,2022-04-18T18:30:54.330+02:00,2022-09-29T15:10:29.443+02:00,,,,0,,,True,False,1.0,35.0,771.0,False,False,False,,public_station_fast,"['CCS 2', 'CHAdeMO', 'Type 2']",False,,"{'all': 3, 'busy': 0, 'failed': 0}",DC,#FE6E00,Работает,
660,"Туристическая деревня ""Кургала""","Россия, Ленинградская область, Кингисеппский район, Усть-Лужское сельское поселение","Зарядная станция на территории туристической деревни ""Кургала""",False,False,,True,,59.662687,28.446674,,False,,,0,0.0,353065.0,2022-04-18T18:30:49.318+02:00,2022-09-29T15:10:27.917+02:00,,,,0,,,False,False,1.0,35.0,,True,False,False,,public_station,['Type 2'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",AC,#03C03C,Работает,
2112,Светогорск. 380в. Парковка У Здания Жкх,"улица Рощинская, 2, Светогорск, Ленинградская обл., Россия, 188990",,False,False,,False,,61.111585,28.861264,,False,,,0,0.0,340770.0,2022-04-18T18:30:54.812+02:00,2022-09-29T15:10:28.001+02:00,,,,0,,,False,False,1.0,35.0,373.0,False,False,False,,public_station,['Неизвестная красная (на три фазы)'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
1959,"АЗС ""Лукойл""","А-181, Ленинградская обл., Россия, 188861",Розетка 220В в боксе для набора технической воды,False,False,,False,,60.461631,29.340438,,False,,,0,0.0,186495.0,2022-04-18T18:30:54.274+02:00,2022-09-29T15:10:28.533+02:00,,,,0,,,False,False,1.0,35.0,,True,False,False,,public_station,['Розетка RU/Euro'],False,,"{'all': 1, 'busy': 0, 'failed': 0}",LV,#005B96,Работает,
